time,connectivity
00:03:45,"[0,0,0,0,0,0,0]"
00:03:45,"[0,0,0,0,0,0,0]"
00:03:45,"[0,0,0,0,0,0,0]"
00:03:46,"[0,0,0,0,0,0,0]"
00:03:47,"[0,0,0,0,0,0,0]"
00:03:48,"[0,0,0,0,0,0,0]"
00:03:49,"[0,0,0,0,0,0,0]"
00:03:50,"[0,0,0,0,0,0,0]"
00:03:51,"[0,0,0,0,0,0,0]"
00:03:52,"[0,0,0,0,0,0,0]"
00:03:53,"[0,0,0,0,0,0,0]"
00:03:54,"[0,0,0,0,0,0,0]"
00:03:55,"[0,0,0,0,0,0,0]"
00:03:56,"[0,0,0,0,0,0,0]"
00:03:57,"[0,0,0,0,0,0,0]"
00:03:58,"[0,0,0,0,0,0,0]"
00:03:59,"[0,0,0,0,0,0,0]"
00:04:00,"[0,0,0,0,0,0,0]"
00:04:01,"[0,0,0,0,0,0,0]"
00:04:02,"[0,0,0,0,0,0,0]"
00:04:03,"[0,0,0,0,0,0,0]"
00:04:04,"[0,0,0,0,0,0,0]"
00:04:05,"[0,0,0,0,0,0,0]"
00:04:06,"[0,0,0,0,0,0,0]"
00:04:07,"[0,0,0,0,0,0,0]"
00:04:08,"[0,0,0,0,0,0,0]"
00:04:09,"[0,0,0,0,0,0,0]"
00:04:10,"[0,0,0,0,0,0,1]"
00:04:12,"[0,0,0,0,0,0,1]"
00:04:15,"[0,0,0,0,0,0,1]"
00:04:17,"[0,0,0,0,0,0,1]"
00:04:20,"[0,0,0,0,0,0,1]"
00:04:22,"[0,0,0,0,0,0,1]"
00:04:28,"[0,0,1,0,0,0,1]"
00:04:28,"[1,0,1,0,0,0,1]"
00:04:29,"[1,0,1,0,0,0,1]"
00:04:30,"[1,0,1,0,0,0,1]"
00:04:30,"[1,0,1,0,0,0,1]"
00:04:32,"[1,0,1,0,0,0,1]"
00:04:32,"[1,0,1,0,0,0,1]"
00:04:33,"[1,0,1,0,0,0,1]"
00:04:34,"[1,0,1,0,0,0,1]"
00:04:35,"[1,0,1,0,0,0,1]"
00:04:35,"[1,0,1,0,0,0,1]"
00:04:37,"[1,0,1,0,0,0,1]"
00:04:37,"[1,0,1,0,0,0,1]"
00:04:38,"[1,0,1,0,0,0,1]"
00:04:39,"[1,0,1,0,0,0,1]"
00:04:40,"[1,0,1,0,0,0,1]"
00:04:40,"[1,0,1,0,0,0,1]"
00:04:42,"[1,0,1,0,0,0,1]"
00:04:43,"[1,0,1,0,0,0,1]"
00:04:44,"[1,0,1,0,0,0,1]"
00:04:45,"[1,0,1,0,0,0,1]"
00:04:45,"[1,0,1,0,0,0,1]"
00:04:47,"[1,0,1,0,0,0,1]"
00:04:47,"[1,0,1,0,0,0,1]"
00:04:48,"[1,0,1,0,0,0,1]"
00:04:49,"[1,0,1,0,0,0,1]"
00:04:50,"[1,0,1,0,0,0,1]"
00:04:50,"[1,0,1,0,0,0,1]"
00:04:53,"[1,0,1,0,0,0,1]"
00:04:55,"[0,0,0,0,0,0,1]"
00:04:58,"[0,0,0,0,0,0,1]"
00:05:00,"[0,0,0,0,0,0,1]"
00:05:03,"[0,0,0,0,0,0,1]"
00:05:05,"[0,0,0,0,0,0,1]"
00:05:08,"[0,0,0,0,0,0,1]"
00:05:10,"[0,0,0,0,0,0,1]"
00:05:13,"[0,0,0,0,0,0,1]"
00:05:15,"[0,0,0,0,0,0,1]"
00:05:18,"[0,0,0,0,0,0,1]"
00:05:20,"[0,0,0,0,1,0,1]"
00:05:20,"[0,0,0,0,1,0,1]"
00:05:22,"[0,0,0,0,1,0,1]"
00:05:23,"[0,0,0,0,1,0,1]"
00:05:24,"[0,0,0,0,1,0,1]"
00:05:25,"[0,0,0,0,1,0,1]"
00:05:27,"[0,0,0,0,1,0,1]"
00:05:28,"[0,0,0,0,1,0,1]"
00:05:29,"[0,0,0,0,1,0,1]"
00:05:30,"[0,0,0,0,1,0,1]"
00:05:32,"[0,0,0,0,1,0,1]"
00:05:33,"[0,0,0,0,1,0,1]"
00:05:34,"[0,0,0,0,1,0,1]"
00:05:35,"[0,0,0,0,1,0,1]"
00:05:37,"[0,0,0,0,1,0,1]"
00:05:38,"[0,0,0,0,1,0,1]"
00:05:39,"[1,0,0,0,1,0,1]"
00:05:40,"[1,0,0,0,1,0,1]"
00:05:41,"[1,0,0,0,1,0,1]"
00:05:42,"[1,0,0,0,1,0,1]"
00:05:43,"[1,0,0,0,1,0,1]"
00:05:44,"[1,0,0,0,1,0,1]"
00:05:44,"[1,0,0,0,1,0,1]"
00:05:45,"[1,0,0,0,1,0,1]"
00:05:46,"[1,0,0,0,1,0,1]"
00:05:47,"[1,0,0,0,1,0,1]"
00:05:48,"[1,0,0,0,1,0,1]"
00:05:49,"[1,0,0,0,1,0,1]"
00:05:49,"[1,0,0,0,1,0,1]"
00:05:50,"[1,0,0,0,1,0,1]"
00:05:51,"[1,0,0,0,1,0,1]"
00:05:52,"[1,0,0,0,1,0,1]"
00:05:53,"[1,0,0,0,1,0,1]"
00:05:54,"[1,0,0,0,1,0,1]"
00:05:54,"[1,0,0,0,1,0,1]"
00:05:55,"[1,0,0,0,1,0,1]"
00:05:56,"[1,0,0,0,1,0,1]"
00:05:57,"[1,0,0,0,1,0,1]"
00:05:58,"[1,0,0,0,1,0,1]"
00:05:59,"[1,0,0,0,1,0,1]"
00:05:59,"[1,0,0,0,1,0,1]"
00:06:00,"[1,0,0,0,1,0,1]"
00:06:01,"[1,0,0,0,1,0,1]"
00:06:02,"[1,0,0,0,1,0,1]"
00:06:03,"[1,0,0,0,1,0,1]"
00:06:04,"[1,0,0,0,1,0,1]"
00:06:04,"[1,0,0,0,1,0,1]"
00:06:05,"[1,0,0,0,1,0,1]"
00:06:06,"[1,0,0,0,1,0,1]"
00:06:07,"[1,0,0,0,1,0,1]"
00:06:08,"[1,0,0,0,1,0,1]"
00:06:09,"[1,0,0,0,1,0,1]"
00:06:09,"[1,0,0,0,1,0,1]"
00:06:10,"[1,0,0,0,1,0,1]"
00:06:11,"[1,0,0,0,1,0,1]"
00:06:12,"[1,0,0,0,1,0,1]"
00:06:13,"[1,0,0,0,1,0,1]"
00:06:14,"[1,0,0,0,1,0,1]"
00:06:14,"[1,0,0,0,1,0,1]"
00:06:15,"[1,0,0,0,1,0,1]"
00:06:16,"[1,0,0,0,1,0,1]"
00:06:17,"[1,0,0,0,1,0,1]"
00:06:18,"[1,0,0,0,1,0,1]"
00:06:19,"[1,0,0,0,1,0,1]"
00:06:19,"[1,0,0,0,1,0,1]"
00:06:20,"[1,0,0,0,1,0,1]"
00:06:21,"[1,0,0,0,1,0,1]"
00:06:22,"[1,0,0,0,1,0,1]"
00:06:23,"[1,0,0,0,1,0,1]"
00:06:24,"[1,0,0,0,1,0,1]"
00:06:24,"[1,0,0,0,1,0,1]"
00:06:25,"[1,0,0,0,1,0,1]"
00:06:26,"[1,0,0,0,1,0,1]"
00:06:27,"[1,0,0,0,1,0,1]"
00:06:28,"[1,0,0,0,1,0,1]"
00:06:29,"[1,0,0,0,1,0,1]"
00:06:29,"[1,0,0,0,1,0,1]"
00:06:30,"[1,0,0,0,1,0,1]"
00:06:31,"[1,0,0,0,1,0,1]"
00:06:32,"[1,0,0,0,1,0,1]"
00:06:33,"[1,0,0,0,1,0,1]"
00:06:34,"[1,0,0,0,1,0,1]"
00:06:34,"[1,0,0,0,1,0,1]"
00:06:35,"[1,0,0,0,1,0,1]"
00:06:36,"[1,0,0,0,1,0,1]"
00:06:37,"[1,0,0,0,1,0,1]"
00:06:38,"[1,0,0,0,1,0,1]"
00:06:39,"[1,0,0,0,1,0,1]"
00:06:39,"[1,0,0,0,1,0,1]"
00:06:40,"[1,0,0,0,1,0,1]"
00:06:41,"[1,0,0,0,1,0,1]"
00:06:42,"[1,0,0,0,1,0,1]"
00:06:43,"[1,0,0,0,1,0,1]"
00:06:44,"[1,0,0,0,1,0,1]"
00:06:44,"[1,0,0,0,1,0,1]"
00:06:45,"[1,0,0,0,1,0,1]"
00:06:46,"[1,0,0,0,1,0,1]"
00:06:47,"[1,0,0,0,1,0,1]"
00:06:48,"[1,0,0,0,1,0,1]"
00:06:49,"[1,0,0,0,1,0,1]"
00:06:50,"[1,0,0,0,1,0,1]"
00:06:53,"[0,0,0,0,0,0,1]"
00:06:55,"[0,0,0,0,0,0,1]"
00:06:58,"[0,0,0,0,0,0,1]"
00:07:00,"[0,0,0,0,0,0,1]"
00:07:03,"[0,0,0,0,0,0,1]"
00:07:05,"[0,0,0,0,0,0,1]"
00:07:08,"[0,0,0,0,0,0,1]"
00:07:10,"[0,0,0,0,0,0,1]"
00:07:13,"[0,0,0,0,0,0,1]"
00:07:14,"[0,0,1,0,0,0,1]"
00:07:15,"[0,0,1,0,0,0,1]"
00:07:16,"[0,0,1,0,0,0,1]"
00:07:18,"[0,0,1,0,0,0,1]"
00:07:19,"[0,0,1,0,0,0,1]"
00:07:20,"[0,0,1,0,0,0,1]"
00:07:21,"[0,0,1,0,0,0,1]"
00:07:23,"[0,0,1,0,0,0,1]"
00:07:24,"[0,0,1,0,0,0,1]"
00:07:25,"[0,0,1,0,0,0,1]"
00:07:26,"[0,0,1,0,0,0,1]"
00:07:28,"[0,0,1,0,0,0,1]"
00:07:29,"[0,0,1,0,0,0,1]"
00:07:30,"[0,0,1,0,0,0,1]"
00:07:31,"[0,0,1,0,0,0,1]"
00:07:33,"[0,0,1,0,0,0,1]"
00:07:34,"[0,0,1,0,0,0,1]"
00:07:35,"[0,0,1,0,0,0,1]"
00:07:36,"[0,0,1,0,0,0,1]"
00:07:38,"[0,0,1,0,0,0,1]"
00:07:39,"[0,0,1,0,0,0,1]"
00:07:40,"[0,0,1,0,0,0,1]"
00:07:41,"[0,0,1,0,0,0,1]"
00:07:43,"[0,0,1,0,0,0,1]"
00:07:44,"[0,0,1,0,0,0,1]"
00:07:45,"[0,0,1,0,0,0,1]"
00:07:46,"[0,0,1,0,0,0,1]"
00:07:48,"[0,0,1,0,0,0,1]"
00:07:49,"[0,0,1,0,0,0,1]"
00:07:50,"[0,0,1,0,0,0,1]"
00:07:51,"[0,0,1,0,0,0,1]"
00:07:53,"[0,0,1,0,0,0,1]"
00:07:54,"[0,0,1,0,0,0,1]"
00:07:55,"[0,0,1,0,0,0,1]"
00:07:56,"[0,0,1,0,0,0,1]"
00:07:58,"[0,0,1,0,0,0,1]"
00:07:59,"[0,0,1,0,0,0,1]"
00:08:00,"[0,0,1,0,0,0,1]"
00:08:01,"[0,0,1,0,0,0,1]"
00:08:03,"[1,0,1,0,1,0,1]"
00:08:04,"[1,0,1,0,1,0,1]"
00:08:07,"[0,0,0,0,0,0,1]"
00:08:10,"[0,0,0,0,0,0,1]"
00:08:12,"[0,0,0,0,0,0,1]"
00:08:15,"[0,0,0,0,0,0,1]"
00:08:17,"[0,0,0,0,0,0,1]"
00:08:20,"[0,0,0,0,0,0,1]"
00:08:22,"[0,0,0,0,0,0,1]"
00:08:25,"[0,0,0,0,0,0,1]"
