time,connectivity
19:44:32,"[1, 0, 1, 0, 1, 1, 1]"
19:44:36,"[1, 1, 0, 0, 0, 0, 1]"
19:44:40,"[1, 1, 0, 1, 0, 1, 1]"
19:44:44,"[1, 0, 1, 1, 0, 1, 1]"
19:44:47,"[1, 1, 1, 0, 1, 0, 1]"
19:44:50,"[1, 0, 1, 0, 0, 1, 1]"
19:44:54,"[1, 1, 1, 1, 1, 1, 1]"
19:44:57,"[1, 1, 1, 1, 0, 1, 1]"
19:45:00,"[1, 0, 1, 0, 0, 0, 1]"
19:45:03,"[1, 0, 1, 0, 1, 0, 1]"
19:45:07,"[1, 0, 0, 0, 1, 0, 1]"
19:45:11,"[1, 0, 0, 1, 1, 1, 1]"
19:45:14,"[1, 0, 0, 1, 0, 0, 1]"
19:45:18,"[1, 0, 0, 1, 1, 0, 1]"
19:45:21,"[1, 0, 1, 1, 1, 1, 1]"
19:45:24,"[1, 0, 0, 0, 0, 0, 1]"
19:45:28,"[1, 0, 1, 0, 0, 0, 1]"
19:45:31,"[1, 0, 0, 1, 0, 1, 1]"
19:45:35,"[1, 0, 1, 1, 0, 0, 1]"
19:45:38,"[1, 1, 0, 1, 0, 1, 1]"
19:45:42,"[1, 0, 0, 1, 0, 0, 1]"
19:45:46,"[1, 0, 0, 0, 0, 1, 1]"
19:45:49,"[1, 1, 0, 1, 0, 1, 1]"
19:45:53,"[1, 0, 0, 1, 0, 1, 1]"
19:45:56,"[1, 0, 1, 1, 0, 1, 1]"
19:46:00,"[1, 1, 0, 1, 0, 0, 1]"
19:46:03,"[1, 0, 1, 0, 1, 0, 1]"
19:46:06,"[1, 0, 0, 1, 0, 1, 1]"
19:46:10,"[1, 0, 1, 0, 0, 1, 1]"
19:46:13,"[1, 1, 0, 1, 0, 0, 1]"
19:46:17,"[1, 0, 0, 1, 1, 0, 1]"
19:46:21,"[1, 1, 1, 0, 1, 0, 1]"
19:46:24,"[1, 1, 0, 1, 1, 0, 1]"
